时间,商品名称,库存变化,单笔销量
2026-06-10 00:03:14,国际地址,初始销量: 0,0
2026-06-10 00:03:14,中国地址,初始销量: 0,0
2026-06-10 00:03:14,韩国地址,初始销量: -86,86
2026-06-10 00:03:14,日本地址,初始销量: -5,5
2026-06-10 00:05:17,韩国地址,86->102,16
2026-06-10 00:47:33,韩国地址,102->119,17
2026-06-10 02:21:05,韩国地址,119->141,22
2026-06-10 04:58:44,韩国地址,141->158,17
2026-06-10 07:13:29,韩国地址,158->179,21
2026-06-10 09:46:12,韩国地址,179->195,16
2026-06-10 13:08:57,韩国地址,195->211,16
2026-06-10 16:34:23,韩国地址,211->229,18
2026-06-10 20:07:48,韩国地址,229->244,15
2026-06-10 23:42:11,韩国地址,244->251,7
2026-06-11 03:19:06,韩国地址,251->253,2
2026-06-11 08:45:52,韩国地址,253->257,4
2026-06-11 12:42:16,中国地址,0->-1,1
2026-06-11 12:49:59,中国地址,-1->-14,13
2026-06-11 12:51:08,日本地址,-5->-9,4
2026-06-11 13:01:00,中国地址,-14->-21,7
2026-06-11 13:46:41,中国地址,-21->-19,-2
2026-06-11 14:06:16,中国地址,-19->0,-19
2026-06-11 15:41:24,韩国地址,-257->-1085,828
2026-06-11 15:42:32,韩国地址,-1085->-257,-828
2026-06-11 15:51:41,韩国地址,-257->-1085,828
